j,s,run_1,run_2,run_3,run_4,run_5,average_absolute_error
58,200,-0.1080000000000001,-0.1080000000000001,-0.06299999999999994,-0.2430000000000001,0.07199999999999984,0.11880000000000002
58,400,-0.13949999999999996,0.0405000000000002,0.0405000000000002,-0.4544999999999999,-0.16199999999999992,0.16740000000000005
58,600,-0.17700000000000005,0.10799999999999965,0.032999999999999696,0.1379999999999999,-0.13200000000000012,0.11759999999999989
58,800,0.058499999999999774,-0.06525000000000003,0.06974999999999998,0.1822499999999998,-0.05400000000000027,0.08594999999999997
58,1000,-0.19800000000000018,0.04499999999999993,-4.440892098500626e-16,0.2519999999999998,0.03599999999999959,0.10619999999999999
59,10,0.54,-0.3600000000000001,-0.3600000000000001,1.4399999999999995,-0.3600000000000001,0.6119999999999999
59,200,-0.2430000000000001,-0.1080000000000001,0.16199999999999992,-0.46799999999999997,0.387,0.2736
59,400,0.35550000000000015,-0.0045000000000001705,-0.16199999999999992,-0.09450000000000003,-0.3644999999999998,0.1962
59,600,-0.16200000000000014,-0.2370000000000001,0.12299999999999978,0.12299999999999978,0.16800000000000015,0.1626
59,800,0.013499999999999623,0.0022500000000000853,-0.02024999999999988,0.1822499999999998,0.10349999999999993,0.06434999999999987
59,1000,-0.06300000000000017,-0.13500000000000023,-0.36000000000000054,-0.24300000000000033,-0.09000000000000008,0.17820000000000027
60,10,-1.2600000000000002,-1.2600000000000002,0.54,0.54,-1.2600000000000002,0.9720000000000002
60,200,-0.2430000000000001,0.2070000000000003,0.027000000000000135,0.027000000000000135,-0.19799999999999995,0.14040000000000014
60,400,0.08549999999999991,-0.16199999999999992,-0.04949999999999988,-0.027000000000000135,0.018000000000000016,0.06839999999999997
60,600,-0.08700000000000019,-0.16200000000000014,0.12299999999999978,0.06299999999999972,-0.027000000000000135,0.0924
60,800,0.09224999999999972,0.013499999999999623,-0.05400000000000027,-0.14400000000000013,0.0022500000000000853,0.06119999999999996
60,1000,0.053999999999999604,-0.05400000000000049,-0.18000000000000038,-0.18900000000000028,-0.2340000000000002,0.1422000000000002
61,10,-0.3600000000000001,-0.3600000000000001,-0.3600000000000001,2.3400000000000003,2.3400000000000003,1.1520000000000004
61,200,-0.42300000000000004,0.29700000000000015,-0.018000000000000238,-0.19799999999999995,-0.3779999999999999,0.26280000000000003
61,400,-0.16199999999999992,-0.16199999999999992,-0.07199999999999962,-0.04949999999999988,0.19800000000000018,0.1286999999999999
61,600,-0.057000000000000384,-0.2070000000000003,-0.29699999999999993,-0.057000000000000384,-0.10200000000000009,0.1440000000000002
61,800,-0.07650000000000001,0.15974999999999984,-0.22275000000000023,-0.07650000000000001,-0.009000000000000119,0.10890000000000004
61,1000,0.19799999999999973,-0.15300000000000025,-0.17100000000000026,-0.1260000000000001,-0.08100000000000018,0.1458000000000001
62,10,1.4399999999999995,2.3400000000000003,-0.3600000000000001,0.54,-0.3600000000000001,1.008
62,200,-0.06299999999999994,0.027000000000000135,-0.46799999999999997,0.29700000000000015,0.2070000000000003,0.2124000000000001
62,400,0.1080000000000001,-0.0045000000000001705,-0.0045000000000001705,-0.13949999999999996,-0.11699999999999977,0.07470000000000003
62,600,-0.2370000000000001,-0.07200000000000006,-0.04200000000000004,-0.22199999999999998,0.0030000000000001137,0.11520000000000005
62,800,0.03599999999999959,0.03599999999999959,-0.0990000000000002,0.08099999999999996,0.058499999999999774,0.06209999999999982
62,1000,-0.30600000000000027,0.22499999999999987,-0.07200000000000051,-0.09000000000000008,-0.09000000000000008,0.15660000000000016
63,10,1.4399999999999995,0.54,0.54,-1.2600000000000002,-0.3600000000000001,0.828
63,200,0.16199999999999992,-0.1080000000000001,-0.19799999999999995,-0.018000000000000238,-0.6479999999999999,0.22680000000000003
63,400,-0.22950000000000004,0.018000000000000016,0.1080000000000001,0.018000000000000016,0.3780000000000001,0.15030000000000004
63,600,-0.04200000000000004,-0.057000000000000384,-0.11699999999999999,-0.2070000000000003,-0.07200000000000006,0.09900000000000016
63,800,-0.02024999999999988,0.2610000000000001,0.11474999999999991,-0.05400000000000027,0.15974999999999984,0.12195
63,1000,0.026999999999999913,-0.18000000000000038,-0.1260000000000001,-0.027000000000000135,0.008999999999999897,0.07380000000000009
64,10,2.3400000000000003,-0.3600000000000001,2.3400000000000003,1.4399999999999995,1.4399999999999995,1.584
